GPA,cup,year
3.82,3,1
4,1,2
3.42,1,1
3.71,3,1
2.86,1,1
3.65,0,1
3.33,0,1
2.44,0,2
3.47,0,2
3.63,1,2
3.44,3,2
3.28,3,3
3,2,3
3.29,1,3
3.64,0,4
3.43,0,4
3.44,0,3
3.55,0,4
4,0,1
3.22,1,1
3.31,0,2
3.28,0,2
3.96,0,2
3.37,0,2
3.75,0,4
3.52,2,4
2.46,1,3
4,3,3
3.92,1,2
2.65,1,1
3.23,2,1
3.22,0,1
3.47,0,1
2.65,3,2
3.56,1,2
2.14,5,2
3,0,3
3.34,2,3
3.45,3,3
2.57,0,3
2.92,1,3
2.73,1,4
2.84,1,4
3.41,2,4
2.47,3,3
3.43,0,3
1.84,2,3
2.86,4,3
3.63,6,3
2.94,2,3
3,1,3
2.71,3,3
3.83,10,3
3.37,5,3
3.25,0,3
2.93,2,3
2.84,4,3
2.17,5,3
2.74,1,4
3.22,0,4
3.85,0,4
2.87,2,4
3,1,4
3.14,1,4
3,0,4
2.15,2,4
3.54,3,4
2.85,0,4
4,1,4
3.15,0,4
3.22,0,1
2.65,1,1
3.84,2,1
3.77,1,1
4,2,1
2.14,0,1
3.35,2,1
4,3,1
3.46,1,1
3.18,1,2
3.54,0,2
3.72,2,2
3.8,0,2
3.6,2,2
3,1,2
3.95,1,2
3.75,0,1
3.64,2,1
3.23,1,4
3.97,0,4
3.55,1,2
2.95,2,2
3.84,0,2
3.53,0,4
3.43,1,4
2.83,2,1
3.66,4,1
3.14,2,4
3.86,2,2
3.55,1,2
